day,Team_A_skill_sol_flag,Team_A_pref_sol_flag,Team_A_total_skills,Team_A_work_cost,Team_A_train_cost,Team_A_excess_after_skill,Team_A_excess_after_pref,Team_A_present,Team_A_gohome_cost,Team_A_gohome_skill_sol_flag,Team_A_pref_match_after_skill,Team_A_pref_match_after_pref,Team_B_skill_sol_flag,Team_B_pref_sol_flag,Team_B_total_skills,Team_B_work_cost,Team_B_train_cost,Team_B_excess_after_skill,Team_B_excess_after_pref,Team_B_present,Team_B_gohome_cost,Team_B_gohome_skill_sol_flag,Team_B_pref_match_after_skill,Team_B_pref_match_after_pref,Team_C_skill_sol_flag,Team_C_pref_sol_flag,Team_C_total_skills,Team_C_work_cost,Team_C_train_cost,Team_C_excess_after_skill,Team_C_excess_after_pref,Team_C_present,Team_C_gohome_cost,Team_C_gohome_skill_sol_flag,Team_C_pref_match_after_skill,Team_C_pref_match_after_pref,Team_D_skill_sol_flag,Team_D_pref_sol_flag,Team_D_total_skills,Team_D_work_cost,Team_D_train_cost,Team_D_excess_after_skill,Team_D_excess_after_pref,Team_D_present,Team_D_gohome_cost,Team_D_gohome_skill_sol_flag,Team_D_pref_match_after_skill,Team_D_pref_match_after_pref,Team_E_skill_sol_flag,Team_E_pref_sol_flag,Team_E_total_skills,Team_E_work_cost,Team_E_train_cost,Team_E_excess_after_skill,Team_E_excess_after_pref,Team_E_present,Team_E_gohome_cost,Team_E_gohome_skill_sol_flag,Team_E_pref_match_after_skill,Team_E_pref_match_after_pref,Team_F_skill_sol_flag,Team_F_pref_sol_flag,Team_F_total_skills,Team_F_work_cost,Team_F_train_cost,Team_F_excess_after_skill,Team_F_excess_after_pref,Team_F_present,Team_F_gohome_cost,Team_F_gohome_skill_sol_flag,Team_F_pref_match_after_skill,Team_F_pref_match_after_pref,Team_G_skill_sol_flag,Team_G_pref_sol_flag,Team_G_total_skills,Team_G_work_cost,Team_G_train_cost,Team_G_excess_after_skill,Team_G_excess_after_pref,Team_G_present,Team_G_gohome_cost,Team_G_gohome_skill_sol_flag,Team_G_pref_match_after_skill,Team_G_pref_match_after_pref
10,True,True,51,4160.0,0.0,0.0,0.0,13,,False,10.0,10.0,True,True,61,4160.0,960.0,3.0,3.0,16,4640.0,True,7.0,13.0,True,True,69,3840.0,960.0,4.0,4.0,16,4480.0,True,6.0,12.0,False,False,34,,,,,6,,False,,,False,False,34,,,,,8,,False,,,True,True,47,3520.0,640.0,2.0,2.0,13,3840.0,True,9.0,10.0,False,False,50,,,,,10,,False,,
11,True,True,51,4160.0,320.0,2.0,2.0,15,4480.0,True,9.0,13.0,False,False,61,,,,,13,,False,,,True,True,70,3840.0,960.0,3.0,3.0,15,4320.0,True,8.0,11.0,False,False,34,,,,,9,,False,,,True,True,34,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,8.0,True,True,47,3520.0,960.0,4.0,4.0,15,4160.0,True,7.0,11.0,True,True,50,3520.0,960.0,3.0,3.0,14,4000.0,True,7.0,11.0
12,True,True,52,4160.0,0.0,0.0,0.0,13,,False,10.0,10.0,True,True,61,4160.0,320.0,1.0,1.0,14,4320.0,True,10.0,13.0,True,True,70,4160.0,0.0,0.0,0.0,13,4160.0,True,8.0,10.0,False,False,34,,,,,8,,False,,,False,False,34,,,,,8,,False,,,True,True,48,3840.0,320.0,2.0,2.0,14,4160.0,True,6.0,10.0,True,True,50,3520.0,640.0,3.0,3.0,14,4000.0,True,7.0,11.0
13,True,True,52,4160.0,0.0,0.0,0.0,13,4160.0,True,10.0,12.0,False,False,61,,,,,12,,False,,,False,False,70,,,,,11,,False,,,False,False,34,,,,,6,,False,,,False,False,34,,,,,6,,False,,,True,True,49,3520.0,640.0,3.0,3.0,14,4000.0,True,5.0,11.0,True,True,51,3520.0,320.0,1.0,1.0,12,3680.0,True,11.0,11.0
14,True,True,52,4160.0,0.0,0.0,0.0,13,4160.0,True,12.0,12.0,False,False,61,,,,,11,,False,,,False,False,70,,,,,10,,False,,,True,True,34,2880.0,320.0,1.0,1.0,10,3040.0,True,9.0,9.0,True,True,34,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,9.0,True,True,50,3520.0,320.0,1.0,1.0,12,3680.0,True,10.0,11.0,True,True,51,3520.0,320.0,1.0,1.0,12,3680.0,True,7.0,10.0
15,False,False,52,,,,,12,,False,,,False,False,61,,,,,12,,False,,,False,False,70,,,,,13,,False,,,True,True,34,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,8.0,True,True,34,2880.0,640.0,2.0,2.0,11,3200.0,True,7.0,9.0,False,False,50,,,,,10,,False,,,True,True,51,3520.0,0.0,0.0,0.0,11,3520.0,True,11.0,11.0
16,False,False,52,,,,,11,,False,,,False,False,61,,,,,13,,False,,,False,False,70,,,,,12,,False,,,False,False,35,,,,,8,,False,,,True,True,34,2880.0,640.0,2.0,2.0,11,3200.0,True,7.0,9.0,False,False,50,,,,,10,,False,,,False,False,51,,,,,10,,False,,
17,True,True,52,4160.0,0.0,0.0,0.0,13,4160.0,True,11.0,12.0,True,True,61,4480.0,0.0,0.0,0.0,14,4480.0,True,10.0,12.0,False,False,70,,,,,12,,False,,,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,8.0,True,True,34,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,8.0,True,True,50,3520.0,0.0,1.0,1.0,12,3840.0,True,8.0,9.0,False,False,51,,,,,11,,False,,
18,False,False,52,,,,,11,,False,,,True,True,61,4160.0,320.0,2.0,2.0,15,4480.0,True,7.0,12.0,True,True,70,3840.0,960.0,4.0,4.0,16,4480.0,True,7.0,11.0,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,9.0,True,True,35,2880.0,0.0,0.0,0.0,9,,False,6.0,7.0,True,True,51,3520.0,320.0,1.0,1.0,12,3840.0,True,8.0,10.0,False,False,51,,,,,11,,False,,
19,True,True,52,4160.0,320.0,1.0,1.0,14,4480.0,True,11.0,12.0,True,True,62,4160.0,320.0,1.0,1.0,14,4320.0,True,7.0,13.0,False,False,71,,,,,12,,False,,,False,False,35,,,,,8,,False,,,False,False,35,,,,,8,,False,,,True,True,51,3520.0,640.0,2.0,2.0,13,3840.0,True,9.0,11.0,False,False,51,,,,,9,,False,,
20,True,True,52,4160.0,320.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,62,4160.0,320.0,2.0,2.0,15,4480.0,True,8.0,12.0,True,True,71,3840.0,320.0,2.0,2.0,14,4160.0,True,6.0,9.0,False,False,35,,,,,8,,False,,,False,False,35,,,,,8,,False,,,True,True,51,3520.0,320.0,2.0,2.0,13,3840.0,True,8.0,10.0,True,True,51,3520.0,320.0,1.0,1.0,12,3680.0,True,10.0,10.0
21,True,True,52,4160.0,0.0,0.0,0.0,13,4160.0,True,11.0,12.0,True,True,63,4160.0,0.0,2.0,2.0,15,4640.0,True,8.0,11.0,False,False,72,,,,,11,,False,,,False,False,35,,,,,7,,False,,,False,False,35,,,,,8,,False,,,True,True,52,3520.0,320.0,1.0,1.0,12,3680.0,True,8.0,10.0,True,True,51,3840.0,0.0,0.0,0.0,12,3840.0,True,9.0,10.0
22,False,False,52,,,,,12,,False,,,True,True,65,4160.0,960.0,3.0,3.0,16,4640.0,True,5.0,12.0,True,True,72,4160.0,320.0,1.0,1.0,14,4320.0,True,9.0,11.0,False,False,35,,,,,6,,False,,,False,False,35,,,,,8,,False,,,True,True,52,3840.0,0.0,0.0,0.0,12,3840.0,True,5.0,10.0,True,True,51,3520.0,640.0,3.0,3.0,14,4000.0,True,7.0,11.0
23,True,True,52,4160.0,320.0,2.0,2.0,15,4480.0,True,9.0,13.0,True,True,65,4160.0,320.0,1.0,1.0,14,,False,7.0,7.0,True,True,72,3840.0,640.0,2.0,2.0,14,4160.0,True,5.0,11.0,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,9.0,False,False,35,,,,,7,,False,,,True,True,52,3520.0,960.0,4.0,4.0,15,4160.0,True,5.0,11.0,True,True,52,3520.0,640.0,2.0,2.0,13,4000.0,True,8.0,9.0
24,True,True,53,4160.0,0.0,0.0,0.0,13,,False,10.0,11.0,True,True,65,4160.0,640.0,2.0,2.0,15,4640.0,True,7.0,10.0,True,True,72,4160.0,320.0,1.0,1.0,14,4320.0,True,5.0,10.0,False,False,35,,,,,8,,False,,,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,8.0,True,True,53,3520.0,320.0,1.0,1.0,12,3680.0,True,6.0,10.0,True,True,52,3520.0,0.0,1.0,1.0,12,3840.0,True,8.0,9.0
25,True,True,53,4160.0,0.0,0.0,0.0,13,,False,10.0,10.0,False,False,65,,,,,12,,False,,,True,True,72,4160.0,0.0,0.0,0.0,13,4160.0,True,6.0,10.0,False,False,35,,,,,8,,False,,,False,False,35,,,,,8,,False,,,True,True,53,3520.0,640.0,3.0,3.0,14,4000.0,True,4.0,10.0,True,True,53,3520.0,320.0,2.0,2.0,13,3840.0,True,7.0,10.0
26,True,True,53,4160.0,0.0,0.0,0.0,13,,False,10.0,12.0,True,True,65,4160.0,960.0,3.0,3.0,16,4640.0,True,5.0,12.0,True,True,72,3840.0,320.0,3.0,3.0,15,4320.0,True,6.0,11.0,True,True,35,2880.0,0.0,0.0,0.0,9,,False,6.0,7.0,True,True,35,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,9.0,True,True,54,3520.0,960.0,3.0,3.0,14,4000.0,True,5.0,11.0,True,True,54,3520.0,320.0,1.0,1.0,12,3680.0,True,10.0,11.0
27,True,True,53,4160.0,0.0,0.0,0.0,13,,False,10.0,10.0,False,False,65,,,,,11,,False,,,False,False,74,,,,,11,,False,,,False,False,35,,,,,7,,False,,,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,8.0,8.0,True,True,54,3520.0,0.0,0.0,0.0,11,,False,7.0,8.0,True,True,54,3520.0,640.0,2.0,2.0,13,3840.0,True,7.0,10.0
28,True,True,53,4160.0,0.0,0.0,0.0,13,,False,11.0,11.0,True,True,65,4160.0,320.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,74,4160.0,320.0,1.0,1.0,14,4320.0,True,6.0,11.0,True,True,35,2880.0,320.0,1.0,1.0,10,3040.0,True,7.0,9.0,True,True,35,2880.0,0.0,1.0,1.0,10,3040.0,True,7.0,9.0,True,True,54,3520.0,960.0,3.0,3.0,14,4000.0,True,6.0,11.0,False,False,54,,,,,9,,False,,
29,True,True,53,4160.0,0.0,0.0,0.0,13,,False,9.0,10.0,False,False,65,,,,,13,,False,,,False,False,74,,,,,11,,False,,,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,9.0,False,False,35,,,,,8,,False,,,True,True,54,3520.0,0.0,1.0,1.0,12,3840.0,True,6.0,10.0,True,True,54,3520.0,0.0,0.0,0.0,11,,False,7.0,9.0
30,False,False,53,,,,,12,,False,,,False,False,65,,,,,10,,False,,,False,False,74,,,,,11,,False,,,False,False,35,,,,,7,,False,,,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,9.0,9.0,True,True,55,3520.0,320.0,2.0,2.0,13,3840.0,True,9.0,11.0,True,True,54,3520.0,320.0,1.0,1.0,12,3840.0,True,10.0,10.0
31,True,True,53,4160.0,320.0,1.0,1.0,14,4480.0,True,8.0,11.0,True,True,65,4160.0,0.0,1.0,1.0,14,4320.0,True,7.0,11.0,True,True,74,3840.0,0.0,1.0,1.0,13,4000.0,True,6.0,12.0,True,True,35,2880.0,0.0,0.0,0.0,9,,False,6.0,7.0,False,False,35,,,,,8,,False,,,True,True,56,3520.0,320.0,2.0,2.0,13,3840.0,True,9.0,10.0,True,True,54,3520.0,0.0,0.0,0.0,11,3520.0,True,11.0,11.0
32,True,True,53,4160.0,0.0,0.0,0.0,13,,False,10.0,10.0,True,True,66,4160.0,320.0,1.0,1.0,14,4480.0,True,8.0,11.0,False,False,75,,,,,12,,False,,,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,9.0,True,True,35,2880.0,0.0,1.0,1.0,10,3040.0,True,8.0,9.0,True,True,57,3520.0,640.0,2.0,2.0,13,4000.0,True,8.0,10.0,False,False,54,,,,,10,,False,,
33,True,True,53,4160.0,320.0,1.0,1.0,14,4320.0,True,10.0,12.0,True,True,66,4160.0,640.0,2.0,2.0,15,4480.0,True,9.0,13.0,True,True,75,3840.0,960.0,3.0,3.0,15,4320.0,True,5.0,11.0,False,False,35,,,,,8,,False,,,False,False,35,,,,,8,,False,,,True,True,57,3520.0,0.0,0.0,0.0,11,,False,9.0,9.0,False,False,54,,,,,10,,False,,
34,False,False,53,,,,,11,,False,,,False,False,66,,,,,12,,False,,,False,False,75,,,,,12,,False,,,True,True,35,2880.0,320.0,1.0,1.0,10,3040.0,True,7.0,9.0,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,8.0,True,True,57,3520.0,320.0,1.0,1.0,12,3840.0,True,7.0,10.0,True,True,54,3520.0,320.0,1.0,1.0,12,3840.0,True,8.0,9.0
35,False,False,53,,,,,12,,False,,,True,True,66,4160.0,640.0,2.0,2.0,15,4480.0,True,6.0,13.0,True,True,75,3840.0,960.0,4.0,4.0,16,4480.0,True,8.0,11.0,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,6.0,8.0,False,False,35,,,,,8,,False,,,True,True,57,3520.0,320.0,1.0,1.0,12,3840.0,True,7.0,10.0,True,True,54,3520.0,320.0,1.0,1.0,12,3840.0,True,8.0,9.0
36,False,False,53,,,,,12,,False,,,True,True,66,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,12.0,True,True,76,3840.0,640.0,2.0,2.0,14,4160.0,True,5.0,11.0,False,False,35,,,,,7,,False,,,False,False,35,,,,,7,,False,,,True,True,57,3520.0,320.0,1.0,1.0,12,3840.0,True,8.0,9.0,True,True,54,3520.0,0.0,1.0,1.0,12,,False,5.0,7.0
37,True,True,53,4160.0,320.0,1.0,1.0,14,4320.0,True,8.0,12.0,False,False,67,,,,,13,,False,,,True,True,76,3840.0,320.0,2.0,2.0,14,4160.0,True,6.0,10.0,False,False,35,,,,,8,,False,,,False,False,35,,,,,8,,False,,,True,True,57,3520.0,640.0,3.0,3.0,14,4000.0,True,5.0,11.0,False,False,55,,,,,10,,False,,
38,True,True,53,4160.0,0.0,0.0,0.0,13,4160.0,True,10.0,12.0,True,True,67,4160.0,0.0,1.0,1.0,14,4320.0,True,12.0,12.0,True,True,77,3840.0,320.0,1.0,1.0,13,4000.0,True,5.0,9.0,False,False,35,,,,,8,,False,,,False,False,35,,,,,7,,False,,,True,True,58,3520.0,320.0,2.0,2.0,13,3840.0,True,7.0,10.0,True,True,55,3520.0,0.0,0.0,0.0,11,3520.0,True,7.0,10.0
39,True,True,53,4160.0,0.0,0.0,0.0,13,,False,9.0,9.0,False,False,68,,,,,12,,False,,,True,True,77,4160.0,0.0,1.0,1.0,14,4320.0,True,4.0,9.0,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,7.0,9.0,False,False,35,,,,,8,,False,,,True,True,59,3520.0,320.0,2.0,2.0,13,4000.0,True,6.0,9.0,True,True,55,3520.0,320.0,1.0,1.0,12,3840.0,True,9.0,9.0
40,True,True,53,4160.0,320.0,1.0,1.0,14,4320.0,True,10.0,12.0,True,True,68,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,11.0,True,True,78,3840.0,320.0,1.0,1.0,13,4160.0,True,6.0,9.0,True,True,35,2880.0,0.0,0.0,0.0,9,,False,7.0,7.0,True,True,35,2880.0,320.0,1.0,1.0,10,3040.0,True,5.0,9.0,True,True,60,3520.0,320.0,3.0,3.0,14,4000.0,True,5.0,11.0,True,True,55,3520.0,320.0,3.0,3.0,14,4000.0,True,6.0,11.0
41,True,True,53,4160.0,0.0,0.0,0.0,13,,False,10.0,10.0,True,True,69,4160.0,0.0,0.0,0.0,13,,False,8.0,8.0,True,True,78,3840.0,320.0,1.0,1.0,13,4160.0,True,6.0,9.0,False,False,35,,,,,8,,False,,,False,False,35,,,,,7,,False,,,True,True,62,3520.0,640.0,2.0,2.0,13,4000.0,True,5.0,10.0,True,True,57,3520.0,0.0,0.0,0.0,11,3520.0,True,5.0,9.0
42,True,True,53,4160.0,0.0,0.0,0.0,13,,False,9.0,10.0,True,True,69,4160.0,0.0,0.0,0.0,13,,False,11.0,11.0,True,True,78,3840.0,640.0,2.0,2.0,14,4320.0,True,7.0,10.0,False,False,35,,,,,7,,False,,,False,False,35,,,,,6,,False,,,True,True,62,3520.0,640.0,2.0,2.0,13,3840.0,True,6.0,10.0,True,True,57,3520.0,640.0,2.0,2.0,13,4000.0,True,6.0,9.0
43,True,True,53,4160.0,320.0,1.0,1.0,14,4320.0,True,8.0,12.0,True,True,69,4160.0,320.0,1.0,1.0,14,4480.0,True,7.0,9.0,True,True,78,3840.0,0.0,1.0,1.0,13,4160.0,True,6.0,9.0,True,True,35,2880.0,0.0,0.0,0.0,9,,False,6.0,7.0,True,True,35,2880.0,320.0,1.0,1.0,10,3040.0,True,6.0,8.0,True,True,62,3520.0,640.0,2.0,2.0,13,3840.0,True,7.0,11.0,True,True,57,3520.0,320.0,1.0,1.0,12,3840.0,True,6.0,10.0
44,False,False,53,,,,,9,,False,,,True,True,69,4160.0,320.0,1.0,1.0,14,4320.0,True,8.0,11.0,True,True,79,3840.0,640.0,2.0,2.0,14,4160.0,True,6.0,11.0,True,True,35,2880.0,0.0,1.0,1.0,10,3040.0,True,7.0,9.0,False,False,35,,,,,7,,False,,,True,True,62,3520.0,320.0,1.0,1.0,12,3840.0,True,6.0,10.0,True,True,57,3520.0,0.0,0.0,0.0,11,,False,5.0,7.0
45,True,True,53,4160.0,0.0,0.0,0.0,13,,False,11.0,11.0,False,False,69,,,,,12,,False,,,True,True,79,3840.0,0.0,1.0,1.0,13,4160.0,True,7.0,9.0,False,False,35,,,,,7,,False,,,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,9.0,9.0,False,False,62,,,,,9,,False,,,True,True,57,3520.0,0.0,0.0,0.0,11,,False,8.0,9.0
46,True,True,53,4160.0,0.0,1.0,1.0,14,4320.0,True,9.0,13.0,True,True,69,4160.0,320.0,1.0,1.0,14,4480.0,True,8.0,11.0,False,False,80,,,,,12,,False,,,False,False,35,,,,,8,,False,,,True,True,35,2880.0,0.0,1.0,1.0,10,3040.0,True,7.0,9.0,True,True,62,3520.0,0.0,0.0,0.0,11,,False,7.0,8.0,True,True,57,3520.0,960.0,3.0,3.0,14,4000.0,True,5.0,11.0
47,False,False,54,,,,,12,,False,,,True,True,69,4160.0,320.0,2.0,2.0,15,4480.0,True,8.0,13.0,True,True,80,3840.0,640.0,2.0,2.0,14,4320.0,True,6.0,9.0,False,False,35,,,,,6,,False,,,False,False,35,,,,,6,,False,,,True,True,62,3520.0,640.0,2.0,2.0,13,3840.0,True,5.0,10.0,False,False,57,,,,,10,,False,,
48,True,True,54,4160.0,0.0,0.0,0.0,13,4160.0,True,12.0,12.0,True,True,70,4160.0,320.0,1.0,1.0,14,4320.0,True,7.0,11.0,True,True,80,3840.0,320.0,2.0,2.0,14,4320.0,True,8.0,9.0,True,True,35,2880.0,0.0,0.0,0.0,9,,False,6.0,7.0,True,True,35,2880.0,0.0,0.0,0.0,9,2880.0,True,9.0,9.0,True,True,62,3520.0,640.0,2.0,2.0,13,3840.0,True,7.0,11.0,True,True,57,3520.0,0.0,0.0,0.0,11,,False,6.0,9.0
49,True,True,54,4160.0,0.0,0.0,0.0,13,,False,9.0,10.0,False,False,70,,,,,12,,False,,,True,True,81,3840.0,320.0,1.0,1.0,13,4160.0,True,7.0,9.0,False,False,35,,,,,7,,False,,,False,False,35,,,,,8,,False,,,True,True,62,3520.0,320.0,1.0,1.0,12,3840.0,True,5.0,9.0,True,True,57,3520.0,0.0,0.0,0.0,11,,False,6.0,9.0
50,True,True,54,4160.0,0.0,0.0,0.0,13,,False,11.0,11.0,True,True,70,4160.0,0.0,0.0,0.0,13,4160.0,True,10.0,12.0,True,True,81,3840.0,320.0,1.0,1.0,13,4000.0,True,7.0,10.0,True,True,35,2880.0,0.0,0.0,0.0,9,,False,7.0,7.0,True,True,35,2880.0,640.0,2.0,2.0,11,3200.0,True,5.0,9.0,True,True,62,3520.0,320.0,2.0,2.0,13,3840.0,True,6.0,11.0,True,True,57,3520.0,0.0,0.0,0.0,11,,False,6.0,8.0
51,True,True,54,4160.0,0.0,0.0,0.0,13,,False,10.0,12.0,True,True,70,4160.0,0.0,0.0,0.0,13,,False,9.0,9.0,False,False,81,,,,,11,,False,,,True,True,35,2880.0,320.0,1.0,1.0,10,3040.0,True,6.0,8.0,False,False,35,,,,,8,,False,,,True,True,63,3520.0,320.0,1.0,1.0,12,3680.0,True,6.0,10.0,False,False,57,,,,,10,,False,,
52,False,False,54,,,,,9,,False,,,False,False,70,,,,,12,,False,,,True,True,81,3840.0,0.0,0.0,0.0,12,3840.0,True,6.0,10.0,False,False,35,,,,,8,,False,,,False,False,35,,,,,8,,False,,,False,False,63,,,,,10,,False,,,True,True,57,3520.0,0.0,0.0,0.0,11,3520.0,True,7.0,10.0
